,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
82,53000083,6.6,6.5,5.2,5.25,6.75,6.5,6.17,,,,,18.6,17.049999999999997,19.85,,18.299999999999997,18.549999999999997
83,53000084,4.2,6.25,5.0,3.75,6.75,6.5,5.67,,,,,14.7,12.95,17.45,,15.45,15.95
84,53000085,9.2,6.25,5.4,7.75,8.5,7.5,7.92,,,,,25.45,22.35,25.2,,20.85,23.1
85,53000086,7.0,7.08,6.0,7.75,6.75,8.0,7.5,,,,,21.5,20.75,21.75,,20.08,19.75
86,53000087,6.0,7.0,4.4,,,,,6.5,6.0,7.75,6.75,,,,19.5,17.4,
87,53000088,8.0,7.25,5.0,7.0,8.0,8.0,7.67,,,,,23.0,20.0,24.0,,20.25,21.0
88,53000089,8.0,3.75,6.0,8.25,8.0,6.5,7.58,,,,,24.25,22.25,22.5,,17.75,22.0
89,53000090,6.6,7.25,5.0,,,,,5.75,7.0,9.0,7.25,,,,20.0,18.85,
90,53000091,7.6,7.5,7.0,6.0,7.75,8.0,7.25,,,,,21.35,20.6,23.35,,22.1,22.35
91,53000092,8.2,8.0,5.2,7.25,8.25,6.25,7.25,,,,,23.7,20.65,22.7,,21.4,21.65
92,53000093,7.4,7.75,4.8,,,,,7.5,8.0,8.75,8.08,,,,23.25,19.950000000000003,
93,53000094,7.6,8.25,6.6,7.0,9.0,7.75,7.92,,,,,23.6,21.2,24.35,,22.45,23.2
94,53000095,8.0,7.5,6.2,7.25,7.75,7.75,7.58,,,,,23.0,21.45,23.5,,21.7,21.95
95,53000096,8.4,8.75,8.4,,,,,6.75,6.0,9.5,7.42,,,,21.5,25.549999999999997,
96,53000097,3.6,6.0,2.4,,,,,3.75,4.75,6.25,4.92,,,,14.5,12.0,
97,53000098,8.6,6.25,5.2,6.25,8.25,7.5,7.33,,,,,23.1,20.049999999999997,24.35,,20.049999999999997,22.049999999999997
98,53000099,8.0,7.75,6.6,7.25,6.5,6.25,6.67,,,,,21.75,21.85,20.75,,22.35,21.1
99,53000100,3.2,7.5,4.8,,,,,6.25,7.5,8.0,7.25,,,,21.25,15.5,
100,53000101,5.0,7.0,5.6,,,,,5.5,5.75,9.25,6.83,,,,18.25,17.6,
101,53000102,8.0,7.0,9.0,8.0,5.75,6.5,6.75,,,,,21.75,25.0,20.25,,24.0,22.75
102,53000103,8.2,9.25,8.4,4.75,7.25,6.75,6.25,,,,,20.2,21.35,22.2,,25.849999999999998,23.85
103,53000104,6.2,6.5,3.2,6.5,6.75,6.0,6.42,,,,,19.45,15.899999999999999,18.95,,15.899999999999999,16.15
104,53000105,8.0,9.25,8.2,,,,,7.5,6.75,9.25,7.83,,,,23.5,25.45,
105,53000106,5.0,5.25,2.8,,,,,5.5,4.75,6.0,5.42,,,,15.5,13.05,
106,53000107,6.0,7.75,4.8,,,,,7.0,7.0,9.25,7.75,,,,21.75,18.55,
107,53000108,6.4,8.5,4.6,,,,,5.5,6.25,9.0,6.92,,,,20.25,19.5,
108,53000109,6.6,7.75,4.2,5.0,4.0,6.75,5.25,,,,,15.6,15.799999999999999,17.35,,18.549999999999997,14.799999999999999
109,53000110,6.4,7.75,3.2,,,,,5.75,4.5,7.75,6.0,,,,18.0,17.35,
110,53000111,8.8,8.5,8.6,8.5,6.75,7.25,7.5,,,,,24.05,25.900000000000002,22.8,,25.900000000000002,24.15
111,53000112,7.0,9.0,6.4,7.0,7.5,6.0,6.83,,,,,21.5,20.4,20.5,,22.4,20.9
112,53000113,7.6,7.75,7.6,7.25,7.75,6.5,7.17,,,,,22.6,22.45,21.85,,22.95,22.95
113,53000114,3.8,8.0,3.6,,,,,5.25,5.75,7.75,6.25,,,,19.0,15.399999999999999,
114,53000115,7.6,7.0,8.4,7.25,6.5,7.75,7.17,,,,,21.35,23.25,21.85,,23.0,22.5
115,53000116,4.2,6.5,4.2,,,,,6.25,6.0,7.75,6.67,,,,18.75,14.899999999999999,
116,53000117,7.2,9.0,7.2,,,,,7.25,8.5,9.75,8.5,,,,24.75,23.4,
117,53000118,8.4,8.5,8.8,7.75,8.75,8.0,8.17,,,,,24.9,24.950000000000003,25.15,,25.700000000000003,25.950000000000003
118,53000119,6.4,3.25,3.0,,,,,5.25,3.75,8.25,5.75,,,,12.25,12.65,
119,53000120,6.0,7.25,3.4,,,,,4.5,6.75,6.0,5.75,,,,18.5,16.65,
120,53000121,7.0,4.75,4.4,4.5,5.5,5.0,5.0,,,,,17.0,15.9,17.5,,16.15,16.9
121,53000122,7.0,5.75,6.0,7.5,8.0,6.75,7.42,,,,,22.5,20.5,21.75,,18.75,21.0
122,53000123,8.0,6.0,6.0,7.0,8.0,6.25,7.08,,,,,23.0,21.0,22.25,,20.0,22.0
123,53000124,5.2,8.25,7.4,,,,,6.75,6.75,9.75,7.75,,,,21.75,20.85,
124,53000125,6.2,7.5,4.6,5.25,6.0,6.5,5.92,,,,,17.45,16.05,18.7,,18.3,16.8
125,53000126,6.2,6.75,6.6,6.75,6.5,5.5,6.25,,,,,19.45,19.55,18.2,,19.55,19.3
126,53000127,7.6,8.25,7.8,5.0,7.75,8.0,6.92,,,,,20.35,20.4,23.35,,23.65,23.15
127,53000128,8.0,8.5,8.4,8.25,7.25,7.25,7.58,,,,,23.5,24.65,22.5,,24.9,23.65
128,53000129,4.8,5.5,2.0,3.75,4.75,5.75,4.75,,,,,13.3,10.55,15.3,,12.3,11.55
129,53000130,4.2,6.0,4.2,,,,,4.5,6.25,7.5,6.08,,,,16.75,14.399999999999999,
130,53000131,8.2,6.75,8.4,8.0,6.25,8.25,7.5,,,,,22.45,24.599999999999998,22.7,,23.35,22.85
131,53000132,8.0,8.0,7.4,7.5,7.25,6.0,6.92,,,,,22.75,22.9,21.25,,23.4,22.65
132,53000133,7.8,3.75,5.4,6.5,7.5,6.25,6.75,,,,,21.8,19.7,21.55,,16.95,20.7
133,53000134,8.0,5.0,5.6,6.0,7.25,6.25,6.5,,,,,21.25,19.6,21.5,,18.6,20.85
134,53000135,8.6,9.25,9.0,5.75,6.25,7.0,6.33,,,,,20.6,23.35,21.85,,26.85,23.85
135,53000136,6.6,5.0,8.0,,,,,6.75,7.0,8.5,7.42,,,,18.75,19.6,
