Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01000134,7.25,8.50,,,7.58,7.00,[],8.20,8.50,,,7.00,
01000135,,,8.25,5.50,,,[],8.40,6.25,,4.25,8.60,4.00
01000136,7.25,8.25,,,7.75,7.75,[],9.00,8.00,,,7.60,
01000137,,,2.75,5.00,,,[],8.00,7.00,,4.50,8.20,7.75
01000138,7.00,8.00,,,6.92,5.75,[],9.00,8.75,,,7.80,
01000139,8.00,9.00,,,8.42,8.25,[],8.60,9.25,,,7.60,
01000140,6.50,8.75,,,7.50,7.25,[],6.60,7.50,,,5.80,
01000141,7.00,7.50,,,7.33,7.50,[],7.60,8.00,,,7.00,
01000142,7.25,7.25,,,6.58,5.25,[],8.00,8.25,,,6.60,
01000143,7.25,8.00,,,7.67,7.75,[],7.60,8.50,,,7.60,
01000144,6.00,,,,,2.50,[],,6.75,,,4.00,
01000145,8.25,8.50,,,7.92,7.00,[],,7.50,,,7.20,
01000146,8.00,8.00,,,7.67,7.00,[],7.60,8.25,,,7.60,
01000147,,,7.50,6.50,,,[],4.00,6.75,,4.75,6.40,7.25
01000148,7.50,7.50,,,7.33,7.00,[],9.20,8.25,,,6.80,
01000149,,,,,,,[],8.00,8.25,,,5.00,
01000150,6.50,,,,,4.00,[],,6.25,,,5.80,
01000151,,,5.75,6.08,,,[],8.20,6.00,,5.25,8.60,7.25
01000152,8.50,8.25,,,7.33,5.25,[],8.60,7.75,,,9.20,
01000153,7.75,9.25,,,8.67,9.00,[],6.00,8.75,,,7.20,
01000154,8.00,8.50,,,8.33,8.50,[],5.80,8.00,,,7.60,
01000155,8.25,8.00,,,8.00,7.75,[],8.40,8.75,,,5.00,
01000156,6.25,9.25,,,7.83,8.00,[],8.20,8.50,,,8.00,
01000157,,,7.25,5.50,,,[],5.20,5.00,,4.75,7.60,4.50
01000158,5.50,6.75,,,5.83,5.25,[],7.40,6.50,,,6.00,
01000159,5.50,7.25,,,5.67,4.25,[],4.00,7.00,,,3.20,
01000160,5.75,8.00,,,6.42,5.50,[],8.80,8.00,,,7.40,
01000161,7.50,8.75,,,8.42,9.00,[],8.60,8.75,,,8.60,
01000162,4.00,7.25,,,5.00,3.75,[],4.60,6.25,,,2.60,
01000163,6.50,7.25,,,6.25,5.00,[],6.80,7.00,,,8.00,
01000164,8.00,8.25,,,8.67,9.75,[],6.40,7.75,,,6.00,
01000165,6.75,8.00,,,6.92,6.00,[],9.00,8.50,,,7.80,
01000166,6.25,,,,,6.25,[],,7.25,,,6.80,
01000167,6.75,7.25,,,5.83,3.50,[],6.40,7.00,,,7.20,
01000168,7.75,8.75,,,8.33,8.50,[],9.60,8.50,,,7.80,
01000169,7.75,8.50,,,8.33,8.75,[],8.60,7.25,,,6.60,
01000170,,,,,,,[],8.00,7.00,,,7.40,
01000171,6.50,8.25,,,7.67,8.25,[],8.20,7.50,,,7.60,
01000172,7.00,8.25,,,7.75,8.00,[],7.80,8.50,,,7.20,
01000173,,,7.00,6.25,,,[],8.80,7.25,,5.25,8.20,6.50
01000174,8.00,8.75,,,8.17,7.75,[],5.00,7.50,,,5.20,
01000175,7.75,8.00,,,7.83,7.75,[],8.60,8.50,,,6.20,
01000176,,,8.25,7.33,,,[],9.20,7.25,,4.25,8.60,9.50
