Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,Fail
64000137,5.4,6.0,1.8,,,,,6.5,4.25,7.75,6.17,
64000138,5.8,6.5,4.2,,,,,4.5,5.25,8.0,5.92,
64000139,6.0,8.0,3.8,,,,,6.25,7.5,9.25,7.67,
64000140,7.4,6.75,4.8,,,,,7.5,7.25,8.5,7.75,
64000141,4.0,6.0,1.8,,,,,4.0,3.5,6.75,4.75,
64000142,5.6,6.5,4.4,,,,,4.75,5.5,8.5,6.25,
64000143,8.8,8.0,4.6,7.75,7.5,4.25,6.5,,,,,
64000144,6.6,6.5,4.0,,,,,6.25,7.25,8.25,7.25,
64000145,4.4,6.0,4.0,,,,,4.0,2.5,6.5,4.33,
64000146,3.4,6.0,2.8,,,,,4.75,4.75,7.0,5.5,
64000147,8.6,7.5,4.8,8.25,7.75,7.0,7.67,,,,,
64000148,8.0,8.5,4.0,,,,,8.25,10.0,9.0,9.08,
64000149,5.0,5.5,4.0,,,,,4.5,6.0,7.75,6.08,
64000150,4.0,6.0,3.6,,,,,5.5,6.25,7.0,6.25,
64000151,7.6,6.5,4.6,,,,,7.75,7.25,8.0,7.67,
64000152,6.4,6.5,4.4,,,,,7.0,6.25,7.75,7.0,
64000153,6.2,7.25,4.4,,,,,6.0,6.5,7.5,6.67,
64000154,5.6,6.25,4.0,,,,,8.0,9.0,8.0,8.33,
64000155,5.4,6.0,4.8,,,,,7.5,8.0,9.25,8.25,
64000156,7.2,7.0,4.6,,,,,8.25,7.75,9.25,8.42,
64000157,3.0,6.0,2.6,,,,,4.0,3.25,6.75,4.67,
64000158,4.8,6.5,4.0,,,,,5.5,5.25,6.75,5.83,
64000159,5.2,7.75,5.0,,,,,5.75,8.0,7.75,7.17,
64000160,7.0,8.75,5.8,6.5,7.5,5.75,6.58,,,,,
64000161,7.8,8.0,4.2,7.25,7.25,7.0,7.17,,,,,
64000162,8.4,7.75,5.6,,,,,9.25,8.75,9.75,9.25,
64000163,8.4,7.5,4.0,8.0,8.75,6.0,7.58,,,,,
64000164,8.2,8.0,6.0,,,,,8.75,9.0,9.25,9.0,
64000165,8.2,7.25,4.4,5.75,5.75,5.25,5.58,,,,,
64000166,5.2,6.0,3.2,,,,,6.25,4.0,8.75,6.33,
64000167,6.0,6.5,3.4,,,,,6.25,6.25,7.5,6.67,
64000168,7.4,6.91,5.6,,,,,7.75,8.5,9.0,8.42,
64000169,2.6,5.0,3.2,,,,,4.75,3.5,6.0,4.75,
64000170,8.4,6.5,5.6,7.5,8.25,6.25,7.33,,,,,
64000171,6.6,6.25,4.8,7.5,6.5,2.75,5.58,,,,,
64000172,8.0,5.75,3.6,5.25,7.75,5.5,6.17,,,,,
64000173,4.6,6.0,3.4,,,,,6.25,7.5,8.5,7.42,
64000174,6.8,6.25,2.0,5.75,6.0,4.0,5.25,,,,,
64000175,5.6,6.0,2.8,,,,,6.75,5.25,6.25,6.08,
64000176,6.0,6.75,4.2,,,,,7.25,8.25,7.75,7.75,
64000177,7.2,6.75,1.8,,,,,6.25,7.0,7.25,6.83,
64000178,5.0,4.5,3.4,,,,,6.25,4.25,6.25,5.58,
64000179,6.0,6.0,3.6,,,,,6.5,5.5,7.25,6.42,
64000180,5.8,5.5,4.6,,,,,6.5,7.25,6.5,6.75,
64000181,7.4,7.75,5.0,,,,,6.0,5.75,9.0,6.92,
64000182,4.0,4.5,3.4,,,,,6.0,3.0,7.0,5.33,
64000183,7.6,7.75,4.2,,,,,8.0,8.25,9.25,8.5,
64000184,6.6,6.5,4.6,,,,,6.25,6.75,9.0,7.33,
64000185,7.4,8.0,5.4,6.0,6.5,6.75,6.42,,,,,
64000186,5.0,6.75,6.2,,,,,4.25,4.5,7.25,5.33,
64000187,4.8,6.75,5.0,,,,,6.0,6.0,7.75,6.58,
64000188,6.8,6.5,3.4,5.0,6.75,4.75,5.5,,,,,
64000189,8.4,7.0,6.8,,,,,8.25,7.75,9.25,8.42,
64000190,7.2,8.5,4.0,6.25,6.5,7.0,6.58,,,,,
64000191,4.8,6.0,3.2,,,,,5.0,3.5,4.75,4.42,
64000192,6.0,6.5,4.2,,,,,8.5,6.25,7.75,7.5,
64000193,8.4,7.5,3.4,7.5,6.75,8.25,7.5,,,,,
64000194,5.8,6.5,4.4,,,,,7.5,4.75,8.0,6.75,
64000195,4.8,7.0,2.4,,,,,5.25,4.0,5.75,5.0,
64000196,4.2,7.0,3.2,,,,,6.75,4.5,8.5,6.58,
64000197,8.0,6.25,5.4,7.25,8.25,7.75,7.75,,,,,
64000198,7.6,7.0,4.8,5.75,5.75,6.25,5.92,,,,,
64000199,5.2,6.5,3.4,,,,,5.5,6.0,8.0,6.5,
64000200,5.6,4.0,2.4,,,,,5.0,3.25,5.0,4.42,
64000201,7.8,6.25,5.2,,,,,7.5,7.75,8.75,8.0,
64000202,5.0,6.5,2.0,,,,,5.75,3.75,6.5,5.33,
64000203,6.0,6.5,3.6,,,,,6.75,5.5,7.25,6.5,
64000204,7.8,8.25,4.2,,,,,9.0,9.5,8.75,9.08,
64000205,8.2,9.0,6.8,,,,,5.75,8.0,8.0,7.25,
64000206,3.6,6.0,3.6,,,,,5.5,6.0,8.5,6.67,
64000207,7.2,7.0,5.0,,,,,5.75,5.25,7.75,6.25,
64000208,8.2,7.25,4.6,,,,,6.0,6.0,7.75,6.58,
64000209,4.8,6.25,3.4,,,,,4.0,2.75,5.75,4.17,
64000210,7.0,7.5,4.6,,,,,6.0,7.25,9.0,7.42,
64000211,6.2,8.75,5.6,5.75,5.5,5.0,5.42,,,,,
64000212,5.2,5.75,,,,,,7.25,6.0,,,
64000213,3.2,4.25,,,,,,5.0,4.0,,,
64000214,2.2,5.0,,,,,,6.5,4.75,,,
64000215,6.6,6.25,3.2,,,,,6.75,7.75,9.0,7.83,
64000216,5.0,6.5,3.8,,,,,6.75,7.75,9.5,8.0,
64000217,5.4,6.5,5.0,,,,,4.25,6.5,7.25,6.0,
64000218,4.6,3.75,2.4,,,,,5.25,6.0,8.25,6.5,
64000219,4.8,6.0,,,,,,8.0,6.0,,,
64000220,3.2,5.0,2.4,,,,,4.25,4.25,4.5,4.33,
64000221,4.4,6.0,2.8,,,,,7.25,6.75,9.0,7.67,
64000222,7.2,7.0,4.6,,,,,7.25,7.75,8.25,7.75,
64000223,6.8,6.5,3.0,,,,,6.25,3.75,7.25,5.75,
64000224,7.0,5.75,4.0,5.75,6.5,3.75,5.33,,,,,
64000225,4.6,6.25,4.8,,,,,7.75,7.25,9.25,8.08,
64000226,3.8,6.75,3.2,,,,,4.75,7.0,7.5,6.42,
64000227,6.4,5.5,3.8,5.75,7.0,4.75,5.83,,,,,
64000228,7.4,6.5,3.4,7.0,5.25,4.0,5.42,,,,,
64000229,7.8,8.25,7.0,,,,,6.75,7.75,9.25,7.92,
64000230,5.4,6.25,2.6,,,,,4.75,4.75,6.75,5.42,
64000231,3.0,7.25,2.4,,,,,5.25,5.0,6.5,5.58,
64000232,8.4,8.25,4.4,6.75,7.0,4.25,6.0,,,,,
64000233,,5.0,,,,,,5.25,7.0,,,
64000234,2.8,5.0,,,,,,6.0,4.25,,,
64000235,5.8,5.5,3.0,,,,,6.75,5.75,9.0,7.17,
64000236,8.4,6.5,4.8,6.25,8.25,7.5,7.33,,,,,
64000237,3.4,4.0,2.6,,,,,4.75,4.0,6.75,5.17,
64000238,7.2,7.75,5.4,,,,,8.5,9.75,9.0,9.08,
64000239,8.4,6.75,5.0,8.75,8.0,4.75,7.17,,,,,
64000240,,7.0,,,,,,8.75,9.0,,,
64000241,3.4,3.75,,,,,,5.5,4.25,,,
64000242,3.8,5.75,2.8,,,,,6.5,5.5,5.75,5.92,
64000243,6.0,6.5,4.0,,,,,6.0,6.25,8.5,6.92,
64000244,4.6,4.75,,,,,,6.5,5.0,,,
64000245,4.2,5.75,3.4,,,,,6.0,7.25,8.75,7.33,
64000246,6.2,7.25,,,,,,7.25,7.5,,,
64000247,,5.25,,,,,,8.0,7.5,,,
64000248,6.4,6.5,,,,,,5.5,6.25,,,
64000249,2.4,5.25,,,,,,5.25,4.5,,,
64000250,6.0,6.75,4.0,,,,,8.0,7.75,9.5,8.42,
64000251,6.4,6.75,5.0,6.25,6.25,4.0,5.5,,,,,
64000252,7.2,6.0,2.8,,,,,6.5,7.0,9.0,7.5,
64000253,7.6,6.5,3.8,5.0,6.75,6.25,6.0,,,,,
64000254,3.0,4.5,3.2,,,,,5.5,6.0,7.25,6.25,
64000255,4.4,6.5,4.0,,,,,5.25,4.75,7.25,5.75,
64000256,4.2,6.25,4.2,,,,,6.75,8.25,8.25,7.75,
64000257,7.0,7.08,4.2,,,,,7.5,8.0,9.25,8.25,
64000258,7.6,6.75,4.0,6.5,5.5,4.0,5.33,,,,,
64000259,6.0,7.0,2.4,,,,,6.5,7.25,8.5,7.42,
64000260,6.4,5.92,3.2,7.25,5.75,6.75,6.58,,,,,
64000261,4.2,6.5,4.2,,,,,7.5,7.25,9.0,7.92,
64000262,5.0,6.5,3.6,,,,,5.25,7.0,8.25,6.83,
64000263,4.8,5.0,,,,,,5.25,4.5,,,
64000264,5.8,7.25,4.6,,,,,7.25,7.5,9.0,7.92,
64000265,6.2,6.0,4.4,,,,,8.5,7.75,9.0,8.42,
64000266,6.6,7.0,3.0,,,,,6.5,6.75,7.75,7.0,
64000267,,4.5,,,,,,5.75,5.25,,,
64000268,4.8,6.25,2.8,,,,,4.5,5.0,5.5,5.0,
64000269,8.6,6.5,6.2,6.5,7.5,5.25,6.42,,,,,
64000270,4.6,7.0,3.6,,,,,6.25,5.5,9.0,6.92,
64000271,7.4,6.5,4.4,,,,,7.75,6.75,8.0,7.5,
64000272,7.4,8.25,6.0,,,,,7.25,8.25,9.5,8.33,
64000273,5.4,6.0,3.8,,,,,6.25,6.5,9.25,7.33,
